method,topic,rank,node,pagerank
Ours (Cognitive),住建部 住宅层高 标准 调整,4,房地产市场出现积极变化,0.007186946882753856
Ours (Cognitive),住建部 住宅层高 标准 调整,5,房地产行业中长期利好,0.006678135678052213
Ours (Cognitive),住建部 住宅层高 标准 调整,6,房地产市场保持止跌回稳的积极势头,0.006620494703148153
Ours (Cognitive),住建部 住宅层高 标准 调整,7,公众支持,0.005892963679054947
Ours (Cognitive),住建部 住宅层高 标准 调整,8,改善民生,0.005309012040663486
Ours (Cognitive),住建部 住宅层高 标准 调整,9,满足人民群众住房需求,0.005115468166514006
Ours (Cognitive),住建部 住宅层高 标准 调整,10,好房子,0.005110743469059775
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,1,国家认为核武器能保安全,0.005003550591121528
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,2,马克龙和特朗普的交锋,0.00440753205223125
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,3,马克龙和特朗普的联合新闻发布会,0.004024377277234057
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,4,德国被美国薅羊毛,0.0039690027093262185
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,5,美国经济安全需要,0.003910624109213608
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,6,民主党赢得大选,0.0037489390885633695
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,7,特朗普声称美国将得到格陵兰岛,0.003649261281254466
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,8,伊朗拒绝与美国谈判,0.003492217867518466
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,9,公众关注,0.0034307358410046777
Ours (Cognitive),特朗普 格陵兰岛 军队 部署,10,欧洲购买美国高价天然气,0.0033917025864662136
Ours (Cognitive),特朗普 罪名成立 不予惩罚,1,特朗普被无条件释放,0.016888382604138195
Ours (Cognitive),特朗普 罪名成立 不予惩罚,2,公众关注,0.013654513174585912
Ours (Cognitive),特朗普 罪名成立 不予惩罚,3,耻辱,0.012409146036411958
Ours (Cognitive),特朗普 罪名成立 不予惩罚,4,特朗普上诉,0.009228250274023301
Ours (Cognitive),特朗普 罪名成立 不予惩罚,5,特朗普封口费案宣判,0.007472150541782732
Ours (Cognitive),特朗普 罪名成立 不予惩罚,6,特朗普和拜登心碎,0.007444130633767386
Ours (Cognitive),特朗普 罪名成立 不予惩罚,7,特朗普以重罪犯身份重返白宫,0.006834143396386846
Ours (Cognitive),特朗普 罪名成立 不予惩罚,8,韩国提高老年人年龄门槛,0.006454827467640125
Ours (Cognitive),特朗普 罪名成立 不予惩罚,9,韩国进入超老龄化社会,0.006454827467635193
Ours (Cognitive),特朗普 罪名成立 不予惩罚,10,公众吃瓜心态,0.006338761802978424
Ours (Cognitive),中国黄金 陈雄伟 被查,1,民众不满,0.03173985740023615
Ours (Cognitive),中国黄金 陈雄伟 被查,2,公众关注,0.0239942832928169
Ours (Cognitive),中国黄金 陈雄伟 被查,3,陈雄伟被查,0.023774472541908436
Ours (Cognitive),中国黄金 陈雄伟 被查,4,陈雄伟涉嫌严重违纪违法,0.015291864214678413
Ours (Cognitive),中国黄金 陈雄伟 被查,5,公众震惊,0.014380967234984722
Ours (Cognitive),中国黄金 陈雄伟 被查,6,华侨基金腐败案,0.010160814021000287
Ours (Cognitive),中国黄金 陈雄伟 被查,7,高层严查华侨基金腐败案,0.009229235025491245
Ours (Cognitive),中国黄金 陈雄伟 被查,8,公众不满,0.008747659541872328
Ours (Cognitive),中国黄金 陈雄伟 被查,9,民众愤怒,0.008419188477839755
Ours (Cognitive),中国黄金 陈雄伟 被查,10,用法律武器重典治理,0.008242705729910193
Ours (Cognitive),全国 流感病毒 阳性率 上升,1,公众恐慌,0.017853617689230206
Ours (Cognitive),全国 流感病毒 阳性率 上升,2,投资者乐观,0.009202186438788073
Ours (Cognitive),全国 流感病毒 阳性率 上升,3,2025年是最有机会的一年,0.008693500834807069
Ours (Cognitive),全国 流感病毒 阳性率 上升,4,全国流感病毒阳性率快速上升,0.008421847449623055
Ours (Cognitive),全国 流感病毒 阳性率 上升,5,预防甲流,0.007296446960941601
Ours (Cognitive),全国 流感病毒 阳性率 上升,6,及时就医,0.006539707760931508
Ours (Cognitive),全国 流感病毒 阳性率 上升,7,流感病毒阳性率上升,0.0059014834363728015
Ours (Cognitive),全国 流感病毒 阳性率 上升,8,流感病毒阳性率快速上升,0.0054818312964677275
Ours (Cognitive),全国 流感病毒 阳性率 上升,9,给孩子们做好措施,0.005102227976571022
Ours (Cognitive),全国 流感病毒 阳性率 上升,10,预防流感,0.00497109801609924
Ours (Cognitive),刘强东 京东 快递员 退休金,1,快递小哥退休,0.009329217495775501
Ours (Cognitive),刘强东 京东 快递员 退休金,2,民众不满,0.005827304370815349
Ours (Cognitive),刘强东 京东 快递员 退休金,3,普通人活得体面,0.00408069164824512
Ours (Cognitive),刘强东 京东 快递员 退休金,4,千万普通人活得体面,0.0034794218837873175
Ours (Cognitive),刘强东 京东 快递员 退休金,5,各阶层一起幸福生活,0.003431640489469191
Ours (Cognitive),刘强东 京东 快递员 退休金,6,刘强东创业20年最有成就感,0.003357294637558223
Ours (Cognitive),刘强东 京东 快递员 退休金,7,各阶层幸福生活,0.0030318868948504235
Ours (Cognitive),刘强东 京东 快递员 退休金,8,医保全覆盖,0.002685799585035055
Ours (Cognitive),刘强东 京东 快递员 退休金,9,公众支持,0.002665167794257649
Ours (Cognitive),刘强东 京东 快递员 退休金,10,刘强东创业成就感,0.0025905815370429286
Ours (Cognitive),拜登 告别演讲,1,中国超过美国,0.006957956482942971
Ours (Cognitive),拜登 告别演讲,2,中国超越美国,0.006512732604198545
Ours (Cognitive),拜登 告别演讲,3,中国无法超越美国,0.004727643872911022
Ours (Cognitive),拜登 告别演讲,4,提出临时提案堆高美债上线,0.004342153292862284
Ours (Cognitive),拜登 告别演讲,5,政府没钱发工资,0.004169417602446756
Ours (Cognitive),拜登 告别演讲,6,拜登把世界变得更糟糕,0.004106576201841514
Ours (Cognitive),拜登 告别演讲,7,美国战略地位有利,0.003948107289000564
Ours (Cognitive),拜登 告别演讲,8,批评拜登中东政策不行,0.0034294447947956887
Ours (Cognitive),拜登 告别演讲,9,拜登发表告别演讲,0.003340431981261405
Ours (Cognitive),拜登 告别演讲,10,美国人民反对中国超过美国,0.003143171273379934
Ours (Cognitive),提高 农村 养老金 标准,1,民众不满,0.020499482396152364
Ours (Cognitive),提高 农村 养老金 标准,2,视频可能被强制下架,0.017508178112014147
Ours (Cognitive),提高 农村 养老金 标准,3,公众支持,0.006216039055640244
Ours (Cognitive),提高 农村 养老金 标准,4,农村养老困境,0.005443922007835871
Ours (Cognitive),提高 农村 养老金 标准,5,农民孩子发声,0.004710951781945128
Ours (Cognitive),提高 农村 养老金 标准,6,乡村振兴,0.003350369107952937
Ours (Cognitive),提高 农村 养老金 标准,7,民众满意,0.0028982363780541928
Ours (Cognitive),提高 农村 养老金 标准,8,养老金差距大,0.0028636853073998906
Ours (Cognitive),提高 农村 养老金 标准,9,老百姓受益,0.002102400098833077
Ours (Cognitive),提高 农村 养老金 标准,10,农民养老金困境,0.0020347872917304533
Ours (Cognitive),提高 城乡居民 基础养老金,1,提振消费,0.00774900033728315
Ours (Cognitive),提高 城乡居民 基础养老金,2,提高城乡居民基础养老金,0.006363123977142327
Ours (Cognitive),提高 城乡居民 基础养老金,3,民众不满,0.006123160836243119
Ours (Cognitive),提高 城乡居民 基础养老金,4,消费提振,0.0057019394940240825
Ours (Cognitive),提高 城乡居民 基础养老金,5,提高退休人员基本养老金,0.0048550818841089066
Ours (Cognitive),提高 城乡居民 基础养老金,6,扩大国内需求,0.0047957947372703645
Ours (Cognitive),提高 城乡居民 基础养老金,7,养老金上涨,0.004443800739630458
Ours (Cognitive),提高 城乡居民 基础养老金,8,有效投资扩大,0.004199362517188515
Ours (Cognitive),提高 城乡居民 基础养老金,9,民众满意,0.0036454812607688417
Ours (Cognitive),提高 城乡居民 基础养老金,10,社会投资增加,0.0035654769540928305
Ours (Cognitive),特朗普 上任 三把火,1,民众不满,0.006749822961246213
Ours (Cognitive),特朗普 上任 三把火,2,救美国,0.003596636745117002
Ours (Cognitive),特朗普 上任 三把火,3,公众关注,0.0034919410075269657
Ours (Cognitive),特朗普 上任 三把火,4,民众愤怒,0.002805403302148526
Ours (Cognitive),特朗普 上任 三把火,5,特朗普无法控制内核团队,0.0023503346359803755
Ours (Cognitive),特朗普 上任 三把火,6,川普让美国再次伟大,0.0022939080203504187
Ours (Cognitive),特朗普 上任 三把火,7,特朗普当选总统,0.0021097388998364158
Ours (Cognitive),特朗普 上任 三把火,8,美国分裂危机,0.002100825150159623
Ours (Cognitive),特朗普 上任 三把火,9,特朗普内心打鼓,0.002080476824461204
Ours (Cognitive),特朗普 上任 三把火,10,美国对东方大国采取强硬政策,0.002064609329356726
Ours (Cognitive),特朗普 中国商品 加征10% 关税,1,民众不满,0.011161295945648065
Ours (Cognitive),特朗普 中国商品 加征10% 关税,2,特朗普当选总统,0.009663459059883138
Ours (Cognitive),特朗普 中国商品 加征10% 关税,3,特朗普加征关税,0.005754578766560371
Ours (Cognitive),特朗普 中国商品 加征10% 关税,4,中国出口订单增加,0.0056618139866992925
Ours (Cognitive),特朗普 中国商品 加征10% 关税,5,特朗普对中国商品加征10%关税,0.005142826971084382
Ours (Cognitive),特朗普 中国商品 加征10% 关税,6,公众关注,0.005117667631806897
Ours (Cognitive),特朗普 中国商品 加征10% 关税,7,公众不满,0.0042172457043875905
Ours (Cognitive),特朗普 中国商品 加征10% 关税,8,A股脆弱,0.004122624019669628
Ours (Cognitive),特朗普 中国商品 加征10% 关税,9,外国公司抢购中国商品,0.004052495937484216
Ours (Cognitive),特朗普 中国商品 加征10% 关税,10,主力砸盘,0.003832600155715213
Ours (Cognitive),特朗普 新政 美国 风险,1,市场逆转,0.0061702355645865846
Ours (Cognitive),特朗普 新政 美国 风险,2,外交纠纷,0.003915617402140255
Ours (Cognitive),特朗普 新政 美国 风险,3,中国应对外交纠纷,0.003575311330385701
Ours (Cognitive),特朗普 新政 美国 风险,4,西方媒体讨好中国,0.0031851852685755053
Ours (Cognitive),特朗普 新政 美国 风险,5,十月和十二月出口数据拉出小新高,0.0030654808645031242
Ours (Cognitive),特朗普 新政 美国 风险,6,美国法官发布禁令,0.002999597320951149
Ours (Cognitive),特朗普 新政 美国 风险,7,美国不继续掏钱,0.0028740130679975415
Ours (Cognitive),特朗普 新政 美国 风险,8,十一、十二月出口大幅上升,0.002866559981812039
Ours (Cognitive),特朗普 新政 美国 风险,9,公众关注,0.0025659425846960133
Ours (Cognitive),特朗普 新政 美国 风险,10,全球大多数国家一笑制止,0.0025362771176462022
Ours (Cognitive),特朗普 泽连斯基 希望 协议,1,美国对付中国,0.005169889352199711
Ours (Cognitive),特朗普 泽连斯基 希望 协议,2,美国调动兵力对付中国,0.004939565796547871
Ours (Cognitive),特朗普 泽连斯基 希望 协议,3,俄乌冲突,0.004624762993036092
Ours (Cognitive),特朗普 泽连斯基 希望 协议,4,普京继续打,0.0038244007313270054
Ours (Cognitive),特朗普 泽连斯基 希望 协议,5,阿萨德政权倒台,0.002630427863913233
Ours (Cognitive),特朗普 泽连斯基 希望 协议,6,乌克兰加入北约,0.00259573143257982
Ours (Cognitive),特朗普 泽连斯基 希望 协议,7,俄乌战争,0.0025348508691360543
Ours (Cognitive),特朗普 泽连斯基 希望 协议,8,中俄战略协调关系,0.0024627472749248597
Ours (Cognitive),特朗普 泽连斯基 希望 协议,9,俄乌冲突结束,0.002413578559520127
Ours (Cognitive),特朗普 泽连斯基 希望 协议,10,特朗普任命凯若格为安全顾问,0.002278263113727028
Ours (Cognitive),特朗普 美国国际开发署 意味,1,公众关注,0.0031590322134662694
Ours (Cognitive),特朗普 美国国际开发署 意味,2,要求中国赔偿248亿美元,0.0028788317331678507
Ours (Cognitive),特朗普 美国国际开发署 意味,3,世界见证美国的疯狂,0.0024989937357983434
Ours (Cognitive),特朗普 美国国际开发署 意味,4,公众不满,0.002498522537796554
Ours (Cognitive),特朗普 美国国际开发署 意味,5,伊洛瓦底新闻网陷入困境,0.0024848083663588155
Ours (Cognitive),特朗普 美国国际开发署 意味,6,民众不满,0.002433972838595518
Ours (Cognitive),特朗普 美国国际开发署 意味,7,资助关键项目,0.002355813022966365
Ours (Cognitive),特朗普 美国国际开发署 意味,8,警惕美国使用生化武器,0.0023452426347755823
Ours (Cognitive),特朗普 美国国际开发署 意味,9,伊洛瓦底新闻网呼吁读者捐款,0.002231599521862337
Ours (Cognitive),特朗普 美国国际开发署 意味,10,特朗普对拜登政府进行清算,0.002227778623964494
Ours (Cognitive),特朗普 赢得 美国总统,1,普京一胜一负,0.0025928638396074343
Ours (Cognitive),特朗普 赢得 美国总统,2,俄乌冲突,0.002529139658898669
Ours (Cognitive),特朗普 赢得 美国总统,3,新加坡与中方来往频繁,0.0022469567508692635
Ours (Cognitive),特朗普 赢得 美国总统,4,中国和新加坡有交好渊源与传统,0.0019775090607039914
Ours (Cognitive),特朗普 赢得 美国总统,5,特朗普当选总统,0.0018877682205243487
Ours (Cognitive),特朗普 赢得 美国总统,6,尹希月被关入大牢,0.0018107951558944584
Ours (Cognitive),特朗普 赢得 美国总统,7,公众关注,0.0017090170104402207
Ours (Cognitive),特朗普 赢得 美国总统,8,结束俄乌冲突,0.001685502769082096
Ours (Cognitive),特朗普 赢得 美国总统,9,中国发展太快,0.0016372333115290036
Ours (Cognitive),特朗普 赢得 美国总统,10,朴锦会被关入大牢,0.0016067717049746174
Ours (Cognitive),特朗普 退出 联合国人权理事会,1,国外局势动荡,0.015913262510607845
Ours (Cognitive),特朗普 退出 联合国人权理事会,2,美国退出联合国人权理事会,0.012971997207771932
Ours (Cognitive),特朗普 退出 联合国人权理事会,3,美国退出联合国,0.007627000872846829
Ours (Cognitive),特朗普 退出 联合国人权理事会,4,民众不满,0.006912122618061169
Ours (Cognitive),特朗普 退出 联合国人权理事会,5,以色列不参加联合国人权理事会,0.006657603631145493
Ours (Cognitive),特朗普 退出 联合国人权理事会,6,以色列宣布退出联合国人权理事会,0.006061750460675521
Ours (Cognitive),特朗普 退出 联合国人权理事会,7,国内自主创业空间和机会多,0.005267319710219055
Ours (Cognitive),特朗普 退出 联合国人权理事会,8,国际社会关注,0.0051719238161436545
Ours (Cognitive),特朗普 退出 联合国人权理事会,9,特朗普妥协,0.004561898569614965
Ours (Cognitive),特朗普 退出 联合国人权理事会,10,美国不保护尹新月,0.004521121059083075
Ours (Cognitive),特朗普 马斯克 起诉,1,特朗普当选总统,0.0074314729514678825
Ours (Cognitive),特朗普 马斯克 起诉,2,民众不满,0.0072393091719322985
Ours (Cognitive),特朗普 马斯克 起诉,3,公众关注,0.004829817311645536
Ours (Cognitive),特朗普 马斯克 起诉,4,马斯克建议关闭美国之音和自由电台,0.002895926892042383
Ours (Cognitive),特朗普 马斯克 起诉,5,大变局到来,0.002840740742953023
Ours (Cognitive),特朗普 马斯克 起诉,6,特朗普言论,0.0023852472988373707
Ours (Cognitive),特朗普 马斯克 起诉,7,特朗普签署法案,0.0021850967544183924
Ours (Cognitive),特朗普 马斯克 起诉,8,特朗普没做功课,0.002041425585049614
Ours (Cognitive),特朗普 马斯克 起诉,9,特朗普裸奔,0.002014391138575458
Ours (Cognitive),特朗普 马斯克 起诉,10,特朗普不懂,0.0018088372478020796
Ours (Cognitive),四川 地震,1,民众恐慌,0.008474703505160127
Ours (Cognitive),四川 地震,2,祈祷平安健康,0.007412623840223912
Ours (Cognitive),四川 地震,3,公众关注,0.00528731374477213
Ours (Cognitive),四川 地震,4,走廊医生事件,0.005040591718332328
Ours (Cognitive),四川 地震,5,探寻真相,0.004703342543896069
Ours (Cognitive),四川 地震,6,民众不满,0.0034022782149373183
Ours (Cognitive),四川 地震,7,总裁拒绝女孩,0.0028621214612564554
Ours (Cognitive),四川 地震,8,日本灭亡,0.00281028300889936
Ours (Cognitive),四川 地震,9,女孩考上清北大学,0.002641929102907745
Ours (Cognitive),四川 地震,10,新郎新娘遇难,0.0026279196019918885
Ours (Cognitive),移民 入境 美国,1,特朗普当选总统,0.007263313115675824
Ours (Cognitive),移民 入境 美国,2,民众不满,0.007035377773644004
Ours (Cognitive),移民 入境 美国,3,公众关注,0.004660895472798023
Ours (Cognitive),移民 入境 美国,4,非法移民问题,0.0025296568842060182
Ours (Cognitive),移民 入境 美国,5,民众恐慌,0.0023970751659902795
Ours (Cognitive),移民 入境 美国,6,特朗普宣布撤销八项行政命令,0.0022563475626637517
Ours (Cognitive),移民 入境 美国,7,民众回家,0.002122819225918914
Ours (Cognitive),移民 入境 美国,8,德州独立运动,0.001795472192183332
Ours (Cognitive),移民 入境 美国,9,俄罗斯在叙利亚保持军事力量,0.001758055717418875
Ours (Cognitive),移民 入境 美国,10,社会问题,0.0016070943686047287
Ours (Cognitive),特朗普 乌克兰 要求 获取,1,国外局势动荡,0.004423838794735685
Ours (Cognitive),特朗普 乌克兰 要求 获取,2,民众不满,0.0038316723841432263
Ours (Cognitive),特朗普 乌克兰 要求 获取,3,俄乌冲突,0.0027947729695146973
Ours (Cognitive),特朗普 乌克兰 要求 获取,4,国内自主创业空间和机会多,0.0019273073720087641
Ours (Cognitive),特朗普 乌克兰 要求 获取,5,中日关系紧张,0.0014421026760586381
Ours (Cognitive),特朗普 乌克兰 要求 获取,6,美国老百姓上街抗议,0.0014158466443282688
Ours (Cognitive),特朗普 乌克兰 要求 获取,7,泽连斯基与特朗普在白宫会期间爆发公开争吵,0.0013000346533629163
Ours (Cognitive),特朗普 乌克兰 要求 获取,8,特朗普对中国大幅妥协,0.0012729631588963035
Ours (Cognitive),特朗普 乌克兰 要求 获取,9,抗议活动,0.0012496268603202792
Ours (Cognitive),特朗普 乌克兰 要求 获取,10,民众担忧,0.0012080338020377132
Ours (Cognitive),特朗普 巴拿马运河 控制权,1,民众不满,0.005467986188985981
Ours (Cognitive),特朗普 巴拿马运河 控制权,2,公众关注,0.0035783479589106804
Ours (Cognitive),特朗普 巴拿马运河 控制权,3,巴拿马反美示威,0.0031143535858019124
Ours (Cognitive),特朗普 巴拿马运河 控制权,4,示威者在假人身上贴上特朗普及鲁比奥头像并放火焚烧,0.0019852622605320007
Ours (Cognitive),特朗普 巴拿马运河 控制权,5,特朗普威胁收回巴拿马运河,0.0017258971658978114
Ours (Cognitive),特朗普 巴拿马运河 控制权,6,巴拿马民众反美情绪,0.0017135890951374348
Ours (Cognitive),特朗普 巴拿马运河 控制权,7,公众担忧,0.0014991532874832967
Ours (Cognitive),特朗普 巴拿马运河 控制权,8,捍卫主权运河,0.0012974327886184714
Ours (Cognitive),特朗普 巴拿马运河 控制权,9,美国再次伟大,0.0012535237102964678
Ours (Cognitive),特朗普 巴拿马运河 控制权,10,美国控制巴拿马运河,0.0012213446722410628
Ours (Cognitive),特朗普 政策 普京,1,俄乌冲突,0.003811720407386733
Ours (Cognitive),特朗普 政策 普京,2,俄罗斯处境雪上加霜,0.002283337284390144
Ours (Cognitive),特朗普 政策 普京,3,国外局势动荡,0.001997180295489395
Ours (Cognitive),特朗普 政策 普京,4,民众不满,0.0018069796712539459
